Friday_of_Week,NFCI,ANFCI,Risk,Credit,Leverage,Nonfinancial_Leverage
07/14/1972,0.289193087850774,0.688089372358891,0.433500998588925,-2.16442140133057,-0.392423114319368,-0.510690528780117
07/21/1972,0.30833435954354,0.775363171090192,0.456670115067889,-2.18480536231969,-0.340167644629079,-0.494186747075111
07/28/1972,0.304727409429676,0.784968260952146,0.457417815468652,-2.20793841693733,-0.287992896139295,-0.477308527784586
08/04/1972,0.277833870961802,0.709874214162878,0.435148787173509,-2.23335525667822,-0.235815042454795,-0.460136728184282
08/11/1972,0.229811761146881,0.555652506181296,0.391572627080351,-2.26038368051698,-0.18349321518931,-0.442747296100246
08/18/1972,0.165773330310741,0.342653648276886,0.332293448275136,-2.28821575070257,-0.13089141546527,-0.425211031370349
08/25/1972,0.0921673791962867,0.103854526378089,0.263593772744944,-2.31591913564779,-0.0778575683193013,-0.407596989122263
09/01/1972,0.0170241883118447,-0.119753884559267,0.193373700095874,-2.34252906413924,-0.0242456340645613,-0.38997457949189
09/08/1972,-0.0515083723889793,-0.289742265153069,0.129431248398131,-2.36711583095947,0.0301123987752428,-0.372416087094196
09/15/1972,-0.108123361084384,-0.383851923465789,0.0767540068716636,-2.38890053627646,0.0853226141624233,-0.355000009667581
09/22/1972,-0.149550488645695,-0.402021474878692,0.0381935165769505,-2.40737215366393,0.141514806892218,-0.337811212838057
09/29/1972,-0.175157808195797,-0.36387369227564,0.0140180694727996,-2.42226372833598,0.198813869030482,-0.320939963948418
10/06/1972,-0.187564772882482,-0.305334722576103,0.00135502434805848,-2.43364971127338,0.25734653256747,-0.304479501235308
10/13/1972,-0.191491835408759,-0.262978600108798,-0.00445685245692486,-2.44171599922205,0.317237429681639,-0.288534238871097
10/20/1972,-0.191235062615437,-0.258618264995479,-0.00786244341521186,-2.44713034185955,0.378638324171039,-0.273189080447133
10/27/1972,-0.19205047048078,-0.297407924693838,-0.0135008003555572,-2.45030722196157,0.441710388945339,-0.258524894950071
11/03/1972,-0.19771447386283,-0.367380914103481,-0.0246725196218675,-2.45178190414484,0.506601570981201,-0.244608848347492
11/10/1972,-0.210110030278859,-0.443563720153169,-0.0429287930947161,-2.45229197387905,0.57352441820866,-0.231489819692433
11/17/1972,-0.229611425539013,-0.503500107783938,-0.0676618605358348,-2.45214528569686,0.642607200622986,-0.219196494684264
11/24/1972,-0.254527462815241,-0.535506081690909,-0.0967629234519859,-2.4517897994015,0.713976284452512,-0.207736960406065
12/01/1972,-0.280192535783888,-0.540216779902615,-0.125167165782927,-2.45152633099383,0.787710593546794,-0.197095912937911
12/08/1972,-0.301230374677519,-0.534778839583691,-0.147323105030639,-2.45166301240397,0.863815179558197,-0.187236009707305
12/15/1972,-0.311658026349188,-0.540101065738521,-0.157247863293526,-2.45246469975596,0.942173877335353,-0.178096389736224
12/22/1972,-0.303741646201455,-0.569500561221061,-0.147483492883355,-2.45424781379922,1.02258374781225,-0.169592923729132
12/29/1972,-0.271085930481011,-0.62282445818111,-0.1119910901553,-2.45730142622772,1.10470516351823,-0.161623554267914
01/05/1973,-0.20953154119735,-0.677581429431527,-0.0470104301812528,-2.46194032060485,1.18805276273354,-0.154076391336169
01/12/1973,-0.116686823270687,-0.694450878958074,0.049508412510561,-2.46814667005469,1.27199694071881,-0.146810236706894
